"train_mse","train_mae","test_mse","test_mae","r2","adj_r2","outlier_ct","TIME_PERIOD","Type"
0.00142337482779184,0.0315134455362692,0.0021824439215736,0.0407090947936014,0.99886207012735,0.992034490891454,0,12702,"AAA"
0.00131472296694786,0.0311883624463091,0.00191898343831574,0.0385471355740484,0.998927903274247,0.992495322919729,0,12703,"AAA"
0.00136020709789558,0.0316242799539117,0.00199992050054407,0.039246860127631,0.998883286338886,0.992183004372201,0,12704,"AAA"
0.00134494690155722,0.0315928583557434,0.00194558606103446,0.038876059974683,0.998890880203592,0.992236161425146,0,12705,"AAA"
0.00128782931116163,0.0284084338795529,0.00218616217783147,0.0409916330359442,0.998937905750165,0.992565340251154,0,12706,"AAA"
0.00121466360815742,0.0274854635373382,0.00206582858357486,0.0398302904461786,0.999014848826675,0.993103941786722,0,12709,"AAA"
0.00128492877528665,0.0282792683542247,0.0021695653384166,0.0407596225322366,0.998967785063716,0.99277449544601,0,12710,"AAA"
0.00336471093100809,0.0481090723461223,0.0020393250619247,0.0354706213421274,0.997244452955923,0.980711170691463,0,12711,"AAA"
0.00112837781085915,0.0265126194182907,0.00195125426878149,0.0388562913957053,0.99906566651258,0.993459665588058,0,12712,"AAA"
0.00141470330150516,0.0332806837165176,0.00179792876975021,0.0376157656686526,0.998820925657777,0.991746479604442,0,12713,"AAA"
0.00096019571357502,0.0241467173110804,0.00170921045099631,0.0365214975347063,0.999191876094531,0.994343132661716,0,12716,"AAA"
0.000930163143703458,0.0236606524318585,0.00166948130302691,0.0361291618935056,0.99921348239877,0.99449437679139,0,12717,"AAA"
0.000955765453297798,0.0241245505292265,0.0017040057800837,0.0364764939322776,0.999184455037477,0.994291185262336,0,12718,"AAA"
0.00125181742469266,0.0278907539974993,0.00209248984099761,0.0399505386998325,0.998959932871411,0.992719530099878,0,12719,"AAA"
0.000841909686753518,0.024997073405036,0.00117826351932738,0.0304959962390333,0.999294498826811,0.995061491787678,0,12720,"AAA"
0.000980940737160142,0.0246470672387404,0.00169951334998523,0.0362610714977311,0.999195848259056,0.99437093781339,0,12723,"AAA"
0.0013118957059761,0.0326490623686753,0.00154144407336948,0.0349189770361165,0.998922054772736,0.992454383409151,0,12724,"AAA"
0.00122942392922764,0.0302696822553432,0.00177745881899401,0.037150195411913,0.999015211123516,0.993106477864614,0,12725,"AAA"
