"beta0","beta1","beta2","tau","TIME_PERIOD","Type"
0.421351066308586,-1.03332346087386,-1.94557428394095,40.8720389190073,18179,"AAA"
0.486604096154168,-1.08464178660783,-2.03949983953883,40.3138223397863,18180,"AAA"
0.460644306801497,-1.04483815581671,-2.02151689129343,40.1356124834855,18183,"AAA"
0.481428246840566,-1.07370253010709,-1.99041645680535,42.4383891422734,18184,"AAA"
0.576689842893741,-1.16687704634458,-2.00410318823889,40.9989226873855,18185,"AAA"
0.549048919978916,-1.14743485131132,-1.92387659568308,42.00792546713,18186,"AAA"
0.563498963788507,-1.16687742507748,-1.8858218985295,41.7859409949829,18187,"AAA"
0.600473531308416,-1.17601315816454,-2.01611747555992,39.1699904366147,18190,"AAA"
0.535765260982158,-1.12401719406199,-1.88819250267449,40.1829594493179,18191,"AAA"
0.49045877484904,-1.08206186732814,-1.83537282892567,40.9024039196438,18192,"AAA"
0.495460957530516,-1.10834795096753,-1.79791309044793,41.5356205345188,18193,"AAA"
0.536967972728334,-1.16578661799427,-1.75934823639387,42.140835842078,18194,"AAA"
0.641744587656793,-1.29055456413759,-1.74383350289538,43.7371204813409,18197,"AAA"
0.599774276809484,-1.24743059507877,-1.67365572307476,44.7977980519675,18198,"AAA"
0.590208307541504,-1.22305577271929,-1.68915368005615,45.1673012944684,18199,"AAA"
0.50667082653874,-1.1570459260643,-1.67146077497724,45.0050103905982,18200,"AAA"
0.529653014607701,-1.14871535988909,-1.81261813078926,42.1094244276163,18201,"AAA"
0.572940656980728,-1.15195565064638,-1.94665161543116,39.3581028672064,18204,"AAA"
0.621392855474643,-1.199180390161,-1.93756643265836,39.7196280899718,18205,"AAA"
0.606989538747114,-1.18143035069076,-1.85965718351392,41.1981158024529,18206,"AAA"
0.667797435715458,-1.27084401792365,-1.78414484614122,40.7203711396037,18207,"AAA"
0.681638121720525,-1.29172945444671,-1.75056600471005,41.1944477744413,18208,"AAA"
0.650576778795093,-1.22881412552112,-1.79476568671423,39.6543906912636,18211,"AAA"
0.656087229620394,-1.23266143579465,-1.85094458033696,37.8994155400937,18212,"AAA"
0.585696173478235,-1.16502718509863,-1.79794538031238,39.1682859492813,18213,"AAA"
0.55691037156884,-1.15792684620887,-1.75010487403457,40.8146730033461,18214,"AAA"
0.557611433152831,-1.1691317038135,-1.72484358191351,41.1544576058363,18215,"AAA"
0.544336109941153,-1.11262353628907,-1.83339068145154,39.4774906877602,18218,"AAA"
0.556635932371235,-1.137957475432,-1.79309936945236,40.1839307203202,18219,"AAA"
0.539754877321156,-1.13051908933935,-1.78626391007225,41.3002741517428,18220,"AAA"
0.58100053472767,-1.18575856559402,-1.74516643512922,40.9963656590262,18221,"AAA"
0.560636775966774,-1.14337616546135,-1.77959411276108,41.7035064785329,18222,"AAA"
0.551531465324491,-1.14640800049806,-1.75320166006643,42.1817264443038,18225,"AAA"
0.567331419255236,-1.17167318567353,-1.76577126280913,44.3018338089341,18226,"AAA"
0.550454946085206,-1.15347139913934,-1.71545356440003,43.3012365785212,18227,"AAA"
0.544677885398076,-1.13506253874473,-1.75957197559599,42.1401130433596,18228,"AAA"
0.55808209643547,-1.14236539200835,-1.74434265534758,42.3158359348582,18229,"AAA"
0.60718773487008,-1.2034189391666,-1.68741267301681,40.1539491620853,18232,"AAA"
0.561208260523875,-1.1947275818295,-1.6536349182587,41.4866277683817,18233,"AAA"
0.56976638652673,-1.2034615577085,-1.68627742078173,41.7469851533886,18234,"AAA"
0.613093190767794,-1.23870341149418,-1.64504950362963,41.0957398812239,18235,"AAA"
0.597440116671066,-1.23284823743673,-1.63300511898814,40.7597450372031,18236,"AAA"
0.605408854429619,-1.2319294412088,-1.70795208446513,40.914685746161,18239,"AAA"
0.605396944112137,-1.24116011590086,-1.6986237495434,39.5899037667755,18240,"AAA"
0.586825129105487,-1.21992203817877,-1.70605343399767,39.9000196027836,18241,"AAA"
0.625072202671994,-1.26288732080948,-1.69965479508405,40.5724864527035,18242,"AAA"
0.602090370430885,-1.24213830567158,-1.59656481978514,39.6113653455394,18243,"AAA"
0.588014798134843,-1.22631053569036,-1.62569778611578,40.1840713817773,18246,"AAA"
0.575555288917166,-1.22256022503928,-1.59661292537705,39.3493170099659,18247,"AAA"
0.611886960813477,-1.26862813751517,-1.58103129829443,38.9772933000733,18248,"AAA"
0.650594080664774,-1.31650090626276,-1.56309615299572,38.3951556890414,18249,"AAA"
0.639526129032393,-1.28366726865342,-1.64093585019675,38.0599100057625,18250,"AAA"
0.63804896804369,-1.3084371114074,-1.59403104013956,38.8728546341536,18253,"AAA"
0.606885472444117,-1.27409874260667,-1.57720651440057,37.3856199413373,18257,"AAA"
0.704017547093832,-1.38109735361046,-1.43364506697664,41.3555404252479,18260,"AAA"
0.698206798451106,-1.30859918249824,-1.66010069222444,41.0834186735754,18263,"AAA"
0.639855440591489,-1.21378876860234,-1.80768959501482,39.6883396519323,18264,"AAA"
0.620117810643487,-1.19373264669595,-1.84717152992995,39.730185899516,18267,"AAA"
0.644427298850258,-1.22754893245807,-1.83944226615338,39.760955718142,18268,"AAA"
0.683037797203603,-1.25816849390947,-1.87024580231557,39.2816441493145,18269,"AAA"
0.733560414266396,-1.3110106917274,-1.79199814269458,40.7501536701811,18270,"AAA"
0.749459098808219,-1.32822463319996,-1.76721747660167,42.0940784048769,18271,"AAA"
0.788982186996313,-1.34433206052978,-1.8514611789426,40.6721558374829,18274,"AAA"
0.771132622611531,-1.34021974697508,-1.77683482796021,42.214234359733,18275,"AAA"
0.728075835586227,-1.29625790309011,-1.78290643428447,41.917982401693,18276,"AAA"
0.726342349688598,-1.30237156652003,-1.75049573588755,43.155064591131,18277,"AAA"
0.735011267901986,-1.30729435796531,-1.77465109394543,42.5898260694068,18278,"AAA"
0.720835708786739,-1.26817646799493,-1.82736766383426,42.0400432089039,18281,"AAA"
0.700844404809776,-1.2507731418083,-1.75511978985788,42.9762237515283,18282,"AAA"
0.688868939093242,-1.24426916509474,-1.78936304821972,44.5958620669242,18283,"AAA"
0.661023707593037,-1.22730076581967,-1.807616642406,45.1418658102838,18284,"AAA"
0.654500644492376,-1.22112903876249,-1.79815396987169,46.2488217387636,18285,"AAA"
0.579948865697501,-1.12807347532004,-1.89161070275433,45.3876736512669,18288,"AAA"
0.584436647674178,-1.13843431129303,-1.86968132506041,44.875055302992,18289,"AAA"
0.569164588989722,-1.13895608013725,-1.84345388057683,45.0565673758486,18290,"AAA"
0.537112794838995,-1.10939170177946,-1.86139274207883,44.3354268570963,18291,"AAA"
0.518597922780625,-1.10663573746997,-1.85422696214008,46.0819994069551,18292,"AAA"
0.504695290710782,-1.08339674533138,-1.91832245457926,44.335256244497,18295,"AAA"
0.525081817255685,-1.09837970836812,-1.85169510971727,43.4365417395104,18296,"AAA"
0.563522861564804,-1.13811551504273,-1.84359866205266,43.1404556326292,18297,"AAA"
0.583694191847155,-1.15332466418153,-1.82611929092684,43.6973453019569,18298,"AAA"
